z,n,t/s,A
0,1,0,99.27272488
,,96.93157895,87.44380671
,,193.8631579,80.27376315
,,290.7947368,72.10087381
,,387.7263158,64.04154828
,,484.6578947,58.07549568
,,581.5894737,50.968649
,,678.5210526,45.89718092
,,775.4526316,41.5301052
,,872.3842105,36.79846978
,,969.3157895,34.57911361
,,1066.247368,30.94079206
,,1163.178947,28.28555966
,,1260.110526,25.19328466
,,1357.042105,22.14279268
,,1453.973684,19.26248143
,,1550.905263,18.73318032
,,1647.836842,13.74888805
,,1744.768421,15.71059045
,,1841.7,12.24523493
0,4,0,100.790273
,,2.77E-23,90.35907008
,,5.54E-23,80.61589664
,,8.31E-23,72.42231225
,,1.11E-22,64.52890288
,,1.39E-22,55.02904768
,,1.66E-22,52.81179179
,,1.94E-22,45.42095834
,,2.22E-22,40.48716611
,,2.49E-22,37.90002979
,,2.77E-22,30.75982031
,,3.05E-22,29.52451404
,,3.32E-22,27.57336346
,,3.60E-22,23.01337928
,,3.88E-22,23.45115454
,,4.16E-22,19.81840722
,,4.43E-22,17.84389676
,,4.71E-22,15.85320053
,,4.99E-22,12.85989933
,,5.26E-22,13.43531671
1,0,0,98.77670356
,,52631.57895,101.1219362
,,105263.1579,98.32799479
,,157894.7368,98.9619561
,,210526.3158,100.3846807
,,263157.8947,100.9625328
,,315789.4737,98.78228769
,,368421.0526,100.5351009
,,421052.6316,98.47429714
,,473684.2105,102.408904
,,526315.7895,100.9039535
,,578947.3684,98.79248073
,,631578.9474,98.99131145
,,684210.5263,100.6157411
,,736842.1053,98.63840855
,,789473.6842,100.5606659
,,842105.2632,99.32774641
,,894736.8421,101.9243961
,,947368.4211,98.63674733
,,1000000,101.3143902
1,1,0,97.75328184
,,52631.57895,100.4774249
,,105263.1579,101.011435
,,157894.7368,100.6325375
,,210526.3158,98.80061963
,,263157.8947,99.50212219
,,315789.4737,99.57450154
,,368421.0526,99.43627921
,,421052.6316,100.2729985
,,473684.2105,102.0982034
,,526315.7895,100.5166016
,,578947.3684,99.66367813
,,631578.9474,99.26570236
,,684210.5263,101.3114798
,,736842.1053,101.5318273
,,789473.6842,99.70827602
,,842105.2632,99.33828061
,,894736.8421,100.4088991
,,947368.4211,98.86831783
,,1000000,100.7792494
1,2,0,99.89529416
,,61386525.47,89.61188382
,,122773050.9,79.90384928
,,184159576.4,73.60418052
,,245546101.9,64.34274877
,,306932627.4,57.84529655
,,368319152.8,50.12077016
,,429705678.3,46.33775191
,,491092203.8,41.22968122
,,552478729.3,36.93615527
,,613865254.7,32.1870794
,,675251780.2,31.16833088
,,736638305.7,28.84789113
,,798024831.2,23.9275036
,,859411356.6,21.55643753
,,920797882.1,19.97259729
,,982184407.6,16.62052848
,,1043570933,16.98210781
,,1104957459,14.0524715
,,1166343984,11.8047027
1,4,0,99.52679389
,,1.36E-23,88.39513039
,,2.72E-23,79.82600341
,,4.08E-23,71.51706572
,,5.44E-23,65.85105756
,,6.80E-23,58.72338066
,,8.16E-23,52.01508307
,,9.51E-23,46.94732345
,,1.09E-22,41.70112663
,,1.22E-22,36.67805951
,,1.36E-22,34.1043538
,,1.50E-22,29.56161703
,,1.63E-22,26.0355725
,,1.77E-22,24.79243218
,,1.90E-22,22.88156214
,,2.04E-22,19.86615975
,,2.17E-22,17.44423882
,,2.31E-22,15.71035391
,,2.45E-22,14.78540299
,,2.58E-22,12.50808028
1,5,0,102.1166432
,,4.65E-23,89.98457881
,,9.30E-23,79.44327572
,,1.39E-22,71.50949981
,,1.86E-22,64.06789759
,,2.32E-22,57.22361318
,,2.79E-22,53.18726778
,,3.25E-22,46.50119465
,,3.72E-22,41.55622563
,,4.18E-22,36.53402022
,,4.65E-22,33.87231365
,,5.11E-22,28.902586
,,5.58E-22,26.02032861
,,6.04E-22,24.3391833
,,6.51E-22,21.44852989
,,6.97E-22,18.40331007
,,7.44E-22,16.95428307
,,7.90E-22,16.84496496
,,8.37E-22,13.47341261
,,8.83E-22,11.2186879
1,6,0,100.3018697
,,8.00E-22,90.80125727
,,1.60E-21,80.93987261
,,2.40E-21,71.76313554
,,3.20E-21,65.39964004
,,4.00E-21,56.85678153
,,4.80E-21,51.18764847
,,5.60E-21,46.87664524
,,6.40E-21,42.3435591
,,7.20E-21,37.68578305
,,8.00E-21,34.13438373
,,8.80E-21,30.23462705
,,9.61E-21,27.6468202
,,1.04E-20,25.9013803
,,1.12E-20,23.80075554
,,1.20E-20,21.25499821
,,1.28E-20,16.94311564
,,1.36E-20,17.07644636
,,1.44E-20,14.15356789
,,1.52E-20,11.79156635
2,1,0,100.5647451
,,52631.57895,100.3699245
,,105263.1579,102.0262886
,,157894.7368,99.46341966
,,210526.3158,100.0971303
,,263157.8947,99.69128457
,,315789.4737,100.2173411
,,368421.0526,100.3490307
,,421052.6316,99.35448087
,,473684.2105,99.7930509
,,526315.7895,100.8522249
,,578947.3684,98.84956036
,,631578.9474,100.4403037
,,684210.5263,100.3967037
,,736842.1053,100.5008905
,,789473.6842,99.11244781
,,842105.2632,99.98972369
,,894736.8421,99.47266483
,,947368.4211,98.80346349
,,1000000,100.2465081
2,2,0,99.80521604
,,52631.57895,97.38859478
,,105263.1579,99.43938875
,,157894.7368,100.2804955
,,210526.3158,100.8415431
,,263157.8947,100.4090722
,,315789.4737,98.34359782
,,368421.0526,99.34936958
,,421052.6316,100.4146488
,,473684.2105,101.5602799
,,526315.7895,99.78056353
,,578947.3684,100.2100792
,,631578.9474,102.1817646
,,684210.5263,98.09809273
,,736842.1053,99.52357943
,,789473.6842,101.2141277
,,842105.2632,99.66381086
,,894736.8421,99.3779728
,,947368.4211,99.20008078
,,1000000,100.4567038
2,3,0,99.0637104
,,1.11E-22,91.63114019
,,2.22E-22,80.30110548
,,3.34E-22,71.83867779
,,4.45E-22,65.06396951
,,5.56E-22,57.30786605
,,6.67E-22,51.71747912
,,7.78E-22,46.71684793
,,8.89E-22,40.03036506
,,1.00E-21,36.85426228
,,1.11E-21,32.80132561
,,1.22E-21,28.43909873
,,1.33E-21,27.45493072
,,1.45E-21,24.54639465
,,1.56E-21,22.00557573
,,1.67E-21,17.41822211
,,1.78E-21,17.1360396
,,1.89E-21,16.62527754
,,2.00E-21,12.50032889
,,2.11E-21,11.47609204
2,4,0,100.2116246
,,0.127373684,90.47762151
,,0.254747368,81.15706229
,,0.382121053,72.77285826
,,0.509494737,65.40567531
,,0.636868421,56.83980168
,,0.764242105,53.10404621
,,0.891615789,47.50101913
,,1.018989474,42.39405111
,,1.146363158,36.64289989
,,1.273736842,32.20282476
,,1.401110526,29.61921712
,,1.528484211,29.85783793
,,1.655857895,23.57989917
,,1.783231579,20.86583682
,,1.910605263,18.15503107
,,2.037978947,18.79563413
,,2.165352632,15.19948013
,,2.292726316,15.14163732
,,2.4201,11.98061423
2,5,0,99.79877005
,,4.80E-22,89.01484344
,,9.61E-22,79.6174784
,,1.44E-21,72.93117023
,,1.92E-21,63.42550414
,,2.40E-21,58.28519181
,,2.88E-21,51.90186825
,,3.36E-21,46.78857734
,,3.84E-21,42.74632698
,,4.32E-21,35.96338225
,,4.80E-21,33.16011453
,,5.28E-21,30.28318389
,,5.76E-21,27.4029202
,,6.24E-21,22.7298001
,,6.72E-21,21.24797718
,,7.20E-21,19.66991842
,,7.68E-21,17.6573273
,,8.16E-21,16.30615359
,,8.64E-21,14.5590129
,,9.12E-21,14.71713352
2,6,0,100.5046849
,,0.018805263,88.31505794
,,0.037610526,80.18808217
,,0.056415789,73.34232713
,,0.075221053,64.26199236
,,0.094026316,56.36064798
,,0.112831579,53.92266282
,,0.131636842,45.68698582
,,0.150442105,41.32600698
,,0.169247368,37.64810604
,,0.188052632,34.77422777
,,0.206857895,28.77896207
,,0.225663158,26.81922274
,,0.244468421,25.1267106
,,0.263273684,20.86683665
,,0.282078947,18.34816431
,,0.300884211,16.27754276
,,0.319689474,14.17781198
,,0.338494737,15.76015671
,,0.3573,11.65741962
2,8,0,97.68292613
,,2.40E-22,89.36541605
,,4.80E-22,80.47388144
,,7.20E-22,71.91202301
,,9.61E-22,65.26489837
,,1.20E-21,56.05325988
,,1.44E-21,51.43360711
,,1.68E-21,46.3778533
,,1.92E-21,41.32199652
,,2.16E-21,37.62724148
,,2.40E-21,33.44095574
,,2.64E-21,30.38873208
,,2.88E-21,27.60690713
,,3.12E-21,25.05139396
,,3.36E-21,21.24734826
,,3.60E-21,17.89305877
,,3.84E-21,17.58775342
,,4.08E-21,16.47200336
,,4.32E-21,16.36285327
,,4.56E-21,12.8354692
3,2,0,99.58728317
,,5.86E-23,90.04145937
,,1.17E-22,78.75710504
,,1.76E-22,70.48551498
,,2.34E-22,64.22942362
,,2.93E-22,55.90868505
,,3.51E-22,52.48438897
,,4.10E-22,46.42276511
,,4.69E-22,41.27596196
,,5.27E-22,38.51316261
,,5.86E-22,33.60839152
,,6.44E-22,29.64065865
,,7.03E-22,26.58011613
,,7.61E-22,24.16572081
,,8.20E-22,23.54242976
,,8.79E-22,20.23712
,,9.37E-22,17.34368318
,,9.96E-22,17.41614105
,,1.05E-21,14.83699477
,,1.11E-21,13.78781854
3,3,0,100.5271876
,,52631.57895,99.04269468
,,105263.1579,100.3800123
,,157894.7368,99.66612732
,,210526.3158,98.78878161
,,263157.8947,99.77248437
,,315789.4737,99.38788483
,,368421.0526,98.96292876
,,421052.6316,99.7812821
,,473684.2105,100.420895
,,526315.7895,99.62196178
,,578947.3684,101.0657626
,,631578.9474,100.3767471
,,684210.5263,99.85505899
,,736842.1053,99.55241684
,,789473.6842,101.2750989
,,842105.2632,99.97035735
,,894736.8421,98.32603763
,,947368.4211,101.2647387
,,1000000,100.3243619
3,4,0,99.86627605
,,52631.57895,98.06023263
,,105263.1579,99.97097053
,,157894.7368,100.0893448
,,210526.3158,98.78519986
,,263157.8947,100.5658267
,,315789.4737,100.5617658
,,368421.0526,102.5377667
,,421052.6316,100.6848798
,,473684.2105,100.8362638
,,526315.7895,99.6064947
,,578947.3684,99.43488878
,,631578.9474,100.2461668
,,684210.5263,100.4449216
,,736842.1053,100.8314462
,,789473.6842,100.2464455
,,842105.2632,100.278987
,,894736.8421,100.3397639
,,947368.4211,98.2385604
,,1000000,100.5219414
3,5,0,98.44891502
,,0.132615789,89.10910561
,,0.265231579,77.18846239
,,0.397847368,72.34682403
,,0.530463158,65.16492927
,,0.663078947,58.41742981
,,0.795694737,51.71292998
,,0.928310526,43.73741837
,,1.060926316,42.12661715
,,1.193542105,38.35051014
,,1.326157895,33.23019924
,,1.458773684,30.09626878
,,1.591389474,26.74364061
